"filename", "language", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "Markdown", "MS SQL", "XML", "TypeScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 11, 118
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 13, 128
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 3, 35
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 9, 60
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 6, 44
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 7, 29
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\use-toast.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\contexts\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 9, 28, 193
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\contexts\DataContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 2, 25, 272
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\hooks\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 20
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\hooks\use-toast.ts", "TypeScript", 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31, 193
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\hooks\useChecklist.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 110
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\hooks\useDocumentRequests.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 91
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\hooks\useEngagements.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 92
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\hooks\useProcedures.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 14, 110
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\hooks\useQueryParams.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\hooks\useTrialBalance.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 55
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 14, 34, 142
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\integrations\supabase\client.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 11
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\integrations\supabase\types.ts", "TypeScript", 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 211
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\lib\api\global-library.ts", "TypeScript", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 135
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\lib\utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\Index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 6, 33
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\admin\AdminDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 578, 0, 0, 15, 46, 639
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\admin\UserManagement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 560, 0, 0, 9, 40, 609
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\auth\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 2, 10, 104
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\auth\PendingApprovalPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 1, 4, 45
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\auth\SignupPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 246, 0, 0, 2, 17, 265
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\client\ClientDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 249, 0, 0, 10, 15, 274
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\client\ClientEngagements.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 4, 15, 171
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\client\DocumentRequests.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 276, 0, 0, 4, 25, 305
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\employee\AddClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 5, 20, 270
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\employee\ClientDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 249, 0, 0, 7, 23, 279
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\employee\ClientManagement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 4, 16, 252
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\employee\CreateEngagement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 211, 0, 0, 15, 25, 251
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\employee\EmployeeDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 311, 0, 0, 7, 17, 335
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\employee\EngagementDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 238, 0, 0, 4, 25, 267
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\employee\EngagementManagement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 7, 20, 266
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\pages\employee\Library.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 680, 0, 0, 26, 30, 736
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\services\api.ts", "TypeScript", 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47, 294
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\static\classification-options.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 2, 60
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\static\procedures.js", "JavaScript", 0, 0, 1585, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1586
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\static\proceduresPrompt.js", "JavaScript", 0, 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 84, 394
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\static\proceduresPromptHybrid.js", "JavaScript", 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 42, 203
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\static\recommendationsPrompt.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\supabase\migrations\20250805094200_6f7fe447-3148-4843-a8e9-c529a1101aae.sql", "MS SQL", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 10, 13, 98
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\supabase\migrations\20250805100408_1bb6b92e-52c2-46f7-a46b-cb9b99918ede.sql", "MS SQL", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 3, 38
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\supabase\migrations\20250805100537_3b3b2d36-62e9-4fa8-bfdd-675747534781.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 5
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\supabase\migrations\20250805100700_e7ccd1af-3f5a-4c21-bbbe-7f43e5e46a59.sql", "MS SQL", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 4, 2, 43
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\supabase\migrations\20250805100951_9e5254de-6477-4eb1-aa18-aae44989e6d0.sql", "MS SQL", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 1, 26
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\supabase\migrations\20250805101143_97bb9924-797e-4322-b985-43b56669cd4b.sql", "MS SQL", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 1, 28
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\supabase\migrations\20250805102402_8e040053-4108-4040-8b5a-d3f227808d57.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 1, 5
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\supabase\migrations\20250805102500_1d9ad404-fd7f-4854-839e-ea039d1590d6.sql", "MS SQL", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 3, 2, 69
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\supabase\migrations\20250805102528_8890bb1f-7e5a-4238-8b94-55bcd3730434.sql", "MS SQL", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 0, 30
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\supabase\migrations\20250805102559_1d69de55-dbce-4645-a44c-a2d2fff7355a.sql", "MS SQL", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 2, 15
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\supabase\migrations\20250805102901_4f0cf49c-104c-487b-9300-acf1a31c15f1.sql", "MS SQL", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 1, 31
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\supabase\migrations\20250805161025_09eee76b-9fc9-422d-b1c7-2ede6eb43f0a.sql", "MS SQL", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 1, 33
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\tailwind.config.ts", "TypeScript", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 121
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\tsconfig.app.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 31
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\tsconfig.json", "JSON with Comments", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\tsconfig.node.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\vite.config.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 35
"Total", "-", 1211, 9557, 2175, 19, 45, 358, 1, 16160, 131, 15, 588, 1920, 32180
